(S000009, S000189)
(S000012, S000189)
(S000013, S000189)
(S000014, S000189)
(S000027, S000002)
(S000028, S000002)
(S000029, S000002)
(S000029, S000027)
(S000030, S000002)
(S000030, S000020)
(S000030, S000025)
(S000030, S000026)
(S000030, S000027)
(S000030, S000028)
(S000030, S000033)
(S000030, S000034)
(S000030, S000062)
(S000030, S000146)
(S000030, S000147)
(S000030, S000148)
(S000030, S000158)
(S000030, S000198)
(S000030, S000202)
(S000030, S000210)
(S000031, S000002)
(S000031, S000027)
(S000031, S000029)
(S000032, S000002)
(S000032, S000020)
(S000032, S000025)
(S000032, S000026)
(S000032, S000027)
(S000032, S000028)
(S000032, S000033)
(S000032, S000034)
(S000032, S000062)
(S000032, S000146)
(S000032, S000147)
(S000032, S000148)
(S000032, S000158)
(S000032, S000198)
(S000032, S000202)
(S000032, S000210)
(S000034, S000002)
(S000034, S000033)
(S000035, S000002)
(S000035, S000033)
(S000035, S000034)
(S000036, S000002)
(S000036, S000033)
(S000036, S000034)
(S000036, S000035)
(S000037, S000002)
(S000037, S000033)
(S000037, S000034)
(S000037, S000035)
(S000037, S000036)
(S000040, S000038)
(S000047, S000002)
(S000047, S000189)
(S000054, S000002)
(S000054, S000020)
(S000054, S000025)
(S000054, S000026)
(S000054, S000027)
(S000054, S000028)
(S000054, S000033)
(S000054, S000034)
(S000054, S000062)
(S000054, S000146)
(S000054, S000147)
(S000054, S000148)
(S000054, S000158)
(S000054, S000189)
(S000054, S000198)
(S000054, S000202)
(S000054, S000210)
(S000076, S000043)
(S000077, S000028)
(S000077, S000063)
(S000078, S000002)
(S000078, S000020)
(S000078, S000033)
(S000078, S000034)
(S000078, S000035)
(S000078, S000079)
(S000079, S000002)
(S000079, S000020)
(S000079, S000033)
(S000079, S000034)
(S000079, S000035)
(S000079, S000036)
(S000082, S000042)
(S000083, S000002)
(S000083, S000020)
(S000083, S000026)
(S000083, S000027)
(S000083, S000028)
(S000083, S000033)
(S000083, S000034)
(S000083, S000062)
(S000083, S000146)
(S000083, S000147)
(S000083, S000148)
(S000083, S000158)
(S000083, S000198)
(S000083, S000202)
(S000083, S000210)
(S000084, S000002)
(S000084, S000020)
(S000084, S000026)
(S000084, S000027)
(S000084, S000028)
(S000084, S000033)
(S000084, S000034)
(S000084, S000062)
(S000084, S000146)
(S000084, S000147)
(S000084, S000148)
(S000084, S000158)
(S000084, S000198)
(S000084, S000202)
(S000084, S000210)
(S000085, S000020)
(S000085, S000026)
(S000085, S000027)
(S000085, S000028)
(S000085, S000033)
(S000085, S000034)
(S000085, S000062)
(S000085, S000146)
(S000085, S000147)
(S000085, S000148)
(S000085, S000158)
(S000085, S000198)
(S000085, S000202)
(S000085, S000210)
(S000086, S000020)
(S000086, S000026)
(S000086, S000027)
(S000086, S000028)
(S000086, S000033)
(S000086, S000034)
(S000086, S000062)
(S000086, S000146)
(S000086, S000147)
(S000086, S000148)
(S000086, S000158)
(S000086, S000198)
(S000086, S000202)
(S000086, S000210)
(S000088, S000002)
(S000088, S000020)
(S000088, S000033)
(S000088, S000034)
(S000088, S000035)
(S000088, S000036)
(S000088, S000079)
(S000088, S000089)
(S000089, S000002)
(S000089, S000020)
(S000089, S000033)
(S000089, S000034)
(S000089, S000036)
(S000103, S000002)
(S000103, S000020)
(S000103, S000025)
(S000103, S000026)
(S000103, S000027)
(S000103, S000028)
(S000103, S000032)
(S000103, S000033)
(S000103, S000034)
(S000103, S000062)
(S000103, S000146)
(S000103, S000147)
(S000103, S000148)
(S000103, S000158)
(S000103, S000198)
(S000103, S000202)
(S000103, S000210)
(S000104, S000002)
(S000104, S000020)
(S000104, S000025)
(S000104, S000026)
(S000104, S000027)
(S000104, S000028)
(S000104, S000032)
(S000104, S000033)
(S000104, S000034)
(S000104, S000035)
(S000104, S000062)
(S000104, S000103)
(S000104, S000146)
(S000104, S000147)
(S000104, S000148)
(S000104, S000158)
(S000104, S000198)
(S000104, S000202)
(S000104, S000210)
(S000107, S000020)
(S000107, S000025)
(S000107, S000026)
(S000107, S000027)
(S000107, S000028)
(S000107, S000033)
(S000107, S000034)
(S000107, S000062)
(S000107, S000112)
(S000107, S000113)
(S000107, S000114)
(S000107, S000115)
(S000107, S000116)
(S000107, S000117)
(S000107, S000119)
(S000107, S000125)
(S000107, S000126)
(S000107, S000146)
(S000107, S000147)
(S000107, S000148)
(S000107, S000158)
(S000107, S000170)
(S000107, S000176)
(S000107, S000198)
(S000107, S000201)
(S000107, S000202)
(S000107, S000210)
(S000108, S000002)
(S000108, S000109)
(S000109, S000002)
(S000112, S000002)
(S000112, S000020)
(S000112, S000025)
(S000112, S000026)
(S000112, S000027)
(S000112, S000028)
(S000112, S000033)
(S000112, S000034)
(S000112, S000062)
(S000112, S000146)
(S000112, S000147)
(S000112, S000148)
(S000112, S000158)
(S000112, S000170)
(S000112, S000198)
(S000112, S000202)
(S000112, S000210)
(S000114, S000002)
(S000114, S000020)
(S000114, S000025)
(S000114, S000026)
(S000114, S000027)
(S000114, S000028)
(S000114, S000033)
(S000114, S000034)
(S000114, S000062)
(S000114, S000113)
(S000114, S000146)
(S000114, S000147)
(S000114, S000148)
(S000114, S000158)
(S000114, S000198)
(S000114, S000202)
(S000114, S000210)
(S000115, S000002)
(S000115, S000020)
(S000115, S000025)
(S000115, S000026)
(S000115, S000027)
(S000115, S000028)
(S000115, S000033)
(S000115, S000034)
(S000115, S000062)
(S000115, S000113)
(S000115, S000114)
(S000115, S000146)
(S000115, S000147)
(S000115, S000148)
(S000115, S000158)
(S000115, S000198)
(S000115, S000202)
(S000115, S000210)
(S000116, S000002)
(S000116, S000020)
(S000116, S000025)
(S000116, S000026)
(S000116, S000027)
(S000116, S000028)
(S000116, S000033)
(S000116, S000034)
(S000116, S000062)
(S000116, S000146)
(S000116, S000147)
(S000116, S000148)
(S000116, S000158)
(S000116, S000198)
(S000116, S000202)
(S000116, S000210)
(S000117, S000002)
(S000117, S000020)
(S000117, S000025)
(S000117, S000026)
(S000117, S000027)
(S000117, S000028)
(S000117, S000033)
(S000117, S000034)
(S000117, S000062)
(S000117, S000116)
(S000117, S000146)
(S000117, S000147)
(S000117, S000148)
(S000117, S000158)
(S000117, S000198)
(S000117, S000202)
(S000117, S000210)
(S000119, S000002)
(S000119, S000020)
(S000119, S000025)
(S000119, S000026)
(S000119, S000027)
(S000119, S000028)
(S000119, S000033)
(S000119, S000034)
(S000119, S000062)
(S000119, S000146)
(S000119, S000147)
(S000119, S000148)
(S000119, S000158)
(S000119, S000198)
(S000119, S000202)
(S000119, S000210)
(S000120, S000002)
(S000120, S000020)
(S000120, S000025)
(S000120, S000026)
(S000120, S000027)
(S000120, S000028)
(S000120, S000033)
(S000120, S000034)
(S000120, S000062)
(S000120, S000146)
(S000120, S000147)
(S000120, S000148)
(S000120, S000158)
(S000120, S000198)
(S000120, S000202)
(S000120, S000210)
(S000125, S000126)
(S000136, S000137)
(S000139, S000002)
(S000139, S000020)
(S000139, S000025)
(S000139, S000026)
(S000139, S000027)
(S000139, S000028)
(S000139, S000033)
(S000139, S000034)
(S000139, S000062)
(S000139, S000146)
(S000139, S000147)
(S000139, S000148)
(S000139, S000158)
(S000139, S000198)
(S000139, S000202)
(S000139, S000210)
(S000140, S000002)
(S000140, S000020)
(S000140, S000025)
(S000140, S000026)
(S000140, S000027)
(S000140, S000028)
(S000140, S000033)
(S000140, S000034)
(S000140, S000062)
(S000140, S000146)
(S000140, S000147)
(S000140, S000148)
(S000140, S000158)
(S000140, S000198)
(S000140, S000202)
(S000140, S000210)
(S000146, S000002)
(S000146, S000027)
(S000149, S000002)
(S000149, S000020)
(S000149, S000026)
(S000149, S000027)
(S000149, S000028)
(S000149, S000033)
(S000149, S000034)
(S000149, S000062)
(S000149, S000146)
(S000149, S000147)
(S000149, S000148)
(S000149, S000158)
(S000149, S000198)
(S000149, S000202)
(S000149, S000210)
(S000153, S000002)
(S000153, S000020)
(S000153, S000026)
(S000153, S000027)
(S000153, S000028)
(S000153, S000033)
(S000153, S000034)
(S000153, S000062)
(S000153, S000146)
(S000153, S000147)
(S000153, S000148)
(S000153, S000158)
(S000153, S000198)
(S000153, S000202)
(S000153, S000210)
(S000156, S000002)
(S000156, S000023)
(S000158, S000002)
(S000158, S000020)
(S000158, S000025)
(S000158, S000026)
(S000158, S000027)
(S000158, S000028)
(S000158, S000033)
(S000158, S000034)
(S000158, S000062)
(S000158, S000146)
(S000158, S000147)
(S000158, S000148)
(S000158, S000198)
(S000158, S000202)
(S000158, S000210)
(S000165, S000002)
(S000165, S000023)
(S000168, S000002)
(S000168, S000020)
(S000168, S000026)
(S000168, S000027)
(S000168, S000028)
(S000168, S000033)
(S000168, S000034)
(S000168, S000062)
(S000168, S000112)
(S000168, S000113)
(S000168, S000114)
(S000168, S000115)
(S000168, S000116)
(S000168, S000117)
(S000168, S000119)
